,age,risk,horizon,capital,equity,mf,cash,goal_preservation,goal_retirement,goal_short_term,goal_wealth
0,24,1,4,33868,60.61,34.34,5.05,False,False,False,False
1,26,2,8,18910,85.0,10.0,5.0,False,True,False,False
2,28,0,6,25194,61.22,28.57,10.2,False,False,False,True
3,25,0,7,22674,50.0,35.0,15.0,False,True,False,False
4,26,2,7,15662,69.0,21.0,10.0,False,False,True,False
5,25,0,7,12956,40.0,50.0,10.0,False,False,False,False
6,23,0,3,12812,42.0,48.0,10.0,False,False,False,False
7,28,0,4,33530,24.44,53.33,22.22,False,False,True,False
8,31,2,7,16042,69.0,26.0,5.0,True,False,False,False
9,27,2,3,29743,85.0,10.0,5.0,False,False,False,True
10,28,2,4,24898,68.18,26.14,5.68,True,False,False,False
11,27,1,3,30015,73.0,22.0,5.0,False,True,False,False
12,25,2,5,24705,66.67,27.78,5.56,False,False,False,False
13,26,0,3,63416,64.0,26.0,10.0,False,False,False,True
14,21,1,6,13397,62.5,32.29,5.21,False,False,False,False
15,23,1,5,18207,82.19,10.96,6.85,False,False,False,True
16,23,2,4,21364,68.18,26.14,5.68,False,False,False,False
17,27,2,6,18203,77.92,15.58,6.49,False,True,False,False
18,25,0,6,33787,40.0,50.0,10.0,False,False,False,False
19,28,1,3,22907,52.0,33.0,15.0,True,False,False,False
20,33,2,6,64114,64.52,30.11,5.38,True,False,False,False
21,26,2,7,38904,69.0,21.0,10.0,False,False,True,False
22,26,2,5,15912,78.95,14.47,6.58,False,True,False,False
23,18,1,4,29105,75.0,18.75,6.25,False,True,False,False
24,22,0,5,27372,53.0,32.0,15.0,False,True,False,False
25,18,0,5,17781,45.0,45.0,10.0,False,False,False,False
26,20,1,3,15043,80.0,15.0,5.0,False,True,False,False
27,28,1,5,26359,68.18,26.14,5.68,False,True,False,False
28,24,0,7,36650,66.0,24.0,10.0,False,False,False,True
29,22,1,3,8916,58.0,27.0,15.0,True,False,False,False
30,28,1,6,44991,76.92,16.67,6.41,False,False,False,True
31,32,1,3,34437,68.0,27.0,5.0,False,True,False,False
32,25,0,3,29560,31.58,47.37,21.05,True,False,False,False
33,27,0,3,42313,38.0,52.0,10.0,False,False,False,False
34,23,2,5,27168,82.58,9.71,7.71,False,False,False,True
35,21,0,3,18537,35.79,43.16,21.05,True,False,False,False
36,30,1,3,34805,57.01,38.0,4.99,False,False,False,False
37,32,0,6,26058,58.0,32.0,10.0,False,False,False,True
38,24,2,3,17832,74.3,20.73,4.97,False,False,False,False
39,28,2,6,22040,64.52,30.11,5.38,False,False,False,False
40,24,1,9,26905,62.71,32.3,4.99,False,False,False,False
41,31,2,3,18224,68.25,26.78,4.97,False,False,False,False
42,24,2,3,33767,76.0,19.0,5.0,True,False,False,False
43,20,0,5,30875,45.0,45.0,10.0,False,False,False,False
44,25,2,6,38477,80.0,13.33,6.67,False,True,False,False
45,25,0,6,27238,63.16,26.32,10.53,False,False,False,True
46,26,1,9,22505,84.56,10.45,4.99,False,False,False,True
47,21,1,4,61108,62.5,32.29,5.21,False,False,False,False
48,18,2,4,23175,83.22,9.79,6.99,False,True,False,False
49,18,1,5,13087,63.16,31.58,5.26,False,False,False,False
50,29,1,6,13984,46.0,34.0,20.0,False,False,True,False
51,18,0,7,21666,70.0,20.0,10.0,False,False,False,True
52,30,0,6,25906,35.0,55.0,10.0,False,False,False,False
53,26,0,7,26513,26.67,51.11,22.22,False,False,True,False
54,26,0,7,15160,26.67,51.11,22.22,False,False,True,False
55,27,0,3,26758,63.0,27.0,10.0,False,False,False,True
