age,risk,goal,horizon,capital,equity,mf,cash
24,medium,income,4,33868,60.61,34.34,5.05
26,high,retirement,8,18910,85.0,10.0,5.0
28,low,wealth,6,25194,61.22,28.57,10.2
25,low,retirement,7,22674,50.0,35.0,15.0
26,high,short_term,7,15662,69.0,21.0,10.0
25,low,income,7,12956,40.0,50.0,10.0
23,low,income,3,12812,42.0,48.0,10.0
28,low,short_term,4,33530,24.44,53.33,22.22
31,high,preservation,7,16042,69.0,26.0,5.0
27,high,wealth,3,29743,85.0,10.0,5.0
28,high,preservation,4,24898,68.18,26.14,5.68
27,medium,retirement,3,30015,73.0,22.0,5.0
25,high,income,5,24705,66.67,27.78,5.56
26,low,wealth,3,63416,64.0,26.0,10.0
21,medium,income,6,13397,62.5,32.29,5.21
23,medium,wealth,5,18207,82.19,10.96,6.85
23,high,income,4,21364,68.18,26.14,5.68
27,high,retirement,6,18203,77.92,15.58,6.49
25,low,income,6,33787,40.0,50.0,10.0
28,medium,preservation,3,22907,52.0,33.0,15.0
33,high,preservation,6,64114,64.52,30.11,5.38
26,high,short_term,7,38904,69.0,21.0,10.0
26,high,retirement,5,15912,78.95,14.47,6.58
18,medium,retirement,4,29105,75.0,18.75,6.25
22,low,retirement,5,27372,53.0,32.0,15.0
18,low,income,5,17781,45.0,45.0,10.0
20,medium,retirement,3,15043,80.0,15.0,5.0
28,medium,retirement,5,26359,68.18,26.14,5.68
24,low,wealth,7,36650,66.0,24.0,10.0
22,medium,preservation,3,8916,58.0,27.0,15.0
28,medium,wealth,6,44991,76.92,16.67,6.41
32,medium,retirement,3,34437,68.0,27.0,5.0
25,low,preservation,3,29560,31.58,47.37,21.05
27,low,income,3,42313,38.0,52.0,10.0
23,high,wealth,5,27168,82.58,9.71,7.71
21,low,preservation,3,18537,35.79,43.16,21.05
30,medium,income,3,34805,57.01,38.0,4.99
32,low,wealth,6,26058,58.0,32.0,10.0
24,high,income,3,17832,74.3,20.73,4.97
28,high,income,6,22040,64.52,30.11,5.38
24,medium,income,9,26905,62.71,32.3,4.99
31,high,income,3,18224,68.25,26.78,4.97
24,high,preservation,3,33767,76.0,19.0,5.0
20,low,income,5,30875,45.0,45.0,10.0
25,high,retirement,6,38477,80.0,13.33,6.67
25,low,wealth,6,27238,63.16,26.32,10.53
26,medium,wealth,9,22505,84.56,10.45,4.99
21,medium,income,4,61108,62.5,32.29,5.21
18,high,retirement,4,23175,83.22,9.79,6.99
18,medium,income,5,13087,63.16,31.58,5.26
29,medium,short_term,6,13984,46.0,34.0,20.0
18,low,wealth,7,21666,70.0,20.0,10.0
30,low,income,6,25906,35.0,55.0,10.0
26,low,short_term,7,26513,26.67,51.11,22.22
26,low,short_term,7,15160,26.67,51.11,22.22
27,low,wealth,3,26758,63.0,27.0,10.0
22,low,wealth,3,20311,68.0,22.0,10.0
31,low,short_term,3,24060,21.11,56.67,22.22
22,medium,wealth,5,27213,83.1,9.97,6.93
25,medium,preservation,5,28821,55.0,30.0,15.0
31,medium,short_term,3,22887,44.0,36.0,20.0
